Date,WASTE_SMC,MSW_REC,DIG_FEED_B,DIG_FEED_B_1,DISPOSAL_A,DISPOSAL_B,BALLOON_A,BALLOON_B,ENGINE_RUNNING_HRS,TOTAL_POWER_GENE,EXPORT_POWER,GAS_CONSUMPTION,SFC,Raw_MSW_TS,Raw_MSW_VS,Raw_MSW_MC,AC_02_TS,AC_02_VS,AC_02_MC,AC_02_Sand,AC_02_CN,Digester_Feed_TS,Digester_Feed_VS,Digester_Feed_MC,Digester_Feed_pH,Digester_Feed_VFA,Digester_Feed_ALK,Digester_Feed_VA,Digester_Feed_EC,Digester_Feed_Temp,Digester_Recycle_TS,Digester_Recycle_VS,Digester_Recycle_MC,Digester_Recycle_pH,Digester_Recycle_VFA,Digester_Recycle_ALK,Digester_Recycle_VA,Digester_Recycle_EC,Digester_Recycle_Temp,Digester_Recycle_TOC,Digester_Disposal_TS,Digester_Disposal_VS,Digester_Disposal_MC,Digester_Disposal_pH,Digester_Disposal_VFA,Digester_Disposal_ALK,Digester_Disposal_VA,Digester_Disposal_EC,Digester_Disposal_Temp,Digester_Disposal_TOC,Biogas_Digester_B_Outlet_Methane_pct,Biogas_Digester_B_Outlet_H2S_ppm,Biogas_Clean_Biogas_Methane_pct,Biogas_Clean_Biogas_H2S_ppm,Biogas_Dosing_pH,Biogas_Scrubber_pH,Dig_press_a,Dig_press_b,Dig_level_a,Dig_level_b
2022-03-01,202.015,202.015,0.0,53.37,0.0,0.0,0.3,0.6,9.4,3103.0,2250.0,1747.0,1.77,58.04,40.09,41.96,55.54,31.41,44.46,18.34,29.77,8.28,4.81,91.72,7.24,1605.0,4746.0,0.34,9.37,26.4,7.06,3.78,92.94,7.1,1020.0,4453.0,0.23,9.2,27.8,2.19,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,1000.0,65.8,700.0,14.0,10.0,0.0,7.1,7.11,15.52
2022-03-02,229.77,229.77,0.0,43.52,0.0,0.0,0.0,0.8,7.3,3011.0,2025.0,1691.0,1.78,53.364999999999995,40.09,46.635000000000005,52.535,29.585,47.465,15.98,16.47,8.55,4.81,91.45,6.95,2280.0,5134.0,0.45,12.93,30.3,7.8,4.41,92.2,6.98,1095.0,4615.0,0.24,9.41,28.3,2.56,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,800.0,65.8,800.0,14.0,8.0,0.0,6.5,7.11,15.61
2022-03-03,247.61,247.61,0.0,51.34,0.0,50.0,0.75,0.6,5.3,1842.0,1125.0,1049.0,1.75,64.93,45.24,35.07,52.535,29.585,47.465,15.98,16.47,7.79,4.18,92.21,6.95,1770.0,4463.0,0.4,8.77,28.8,7.03,3.68,92.97,7.04,1050.0,4544.0,0.23,9.13,29.3,2.13,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,700.0,65.8,600.0,14.0,10.0,0.0,6.5,7.11,15.55
2022-03-04,229.855,229.855,0.0,48.16,0.0,0.0,0.65,0.55,6.0,2467.0,1800.0,1320.0,1.86,53.364999999999995,40.09,46.635000000000005,52.535,29.585,47.465,15.98,16.47,9.93,5.32,90.07,6.99,1020.0,4959.0,0.21,8.54,29.2,8.8,4.5,91.2,7.04,750.0,4979.0,0.15,8.72,29.4,2.61,7.62,4.12,92.38,7.08,1470.0,4726.04,0.31,9.23,26.2,2.39,65.0,700.0,65.8,300.0,14.0,14.0,0.0,6.5,7.11,15.36
2022-03-05,245.81,245.81,0.0,26.13,0.0,50.0,0.0,0.8,6.4,3062.0,2250.0,1630.0,1.87,53.364999999999995,40.09,46.635000000000005,52.535,29.585,47.465,15.98,16.47,8.55,4.81,91.45,6.95,2280.0,5134.0,0.45,12.93,30.3,7.625,3.9,92.36500000000001,7.05,1793.0,5190.0,0.34,12.93,30.5,2.26,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,500.0,65.8,400.0,14.0,10.0,0.0,5.4,7.11,15.35
2022-03-06,208.13,208.13,0.0,7.24,0.0,0.0,0.1,0.8,2.35,1181.0,900.0,657.0,1.79,53.364999999999995,40.09,46.635000000000005,52.535,29.585,47.465,15.98,16.47,8.55,4.81,91.45,6.95,2280.0,5134.0,0.45,12.93,30.3,7.77,3.62,92.23,7.08,900.0,4878.0,0.18,12.0,29.3,2.1,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,400.0,65.8,300.0,14.0,14.0,0.0,5.2,7.11,15.33
2022-03-07,178.32,178.32,0.0,37.09,0.0,0.0,0.0,0.45,8.4,1461.0,0.0,1079.0,1.35,55.0,38.7,45.0,51.73,28.94,48.27,15.86,27.58,8.55,4.81,91.45,6.95,2280.0,5134.0,0.45,12.93,30.3,7.55,3.85,92.45,7.12,1050.0,4665.0,0.23,11.59,27.4,2.24,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,500.0,65.8,300.0,14.0,10.0,0.0,6.4,7.11,15.41
2022-03-08,238.75,238.75,0.0,36.65,0.0,0.0,0.55,0.05,9.1,1605.0,0.0,1125.0,1.42,56.71,36.7,43.29,46.34,30.53,53.66,15.86,30.42,8.55,4.81,91.45,6.95,2280.0,5134.0,0.45,12.93,30.3,8.12,4.15,91.88,7.01,1380.0,4837.0,0.29,11.3,27.5,2.41,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.0,700.0,65.8,700.0,14.0,7.0,0.0,5.2,7.02,15.47
2022-03-09,243.71,243.71,0.0,43.78,0.0,0.0,0.55,0.4,3.25,1916.0,1125.0,1009.0,1.89,53.364999999999995,40.09,46.635000000000005,52.535,29.585,47.465,15.98,16.47,6.87,3.96,93.13,6.71,2070.0,4435.0,0.47,10.92,28.3,7.71,3.97,92.29,7.0,1380.0,4732.0,0.29,10.77,28.3,2.3,7.29,3.92,92.71,7.01,975.0,4877.84,0.2,13.2,27.5,2.27,64.1,700.0,65.3,700.0,14.0,7.0,0.0,5.4,7.05,15.6
2022-03-10,225.69,225.69,0.0,56.08,0.0,50.0,0.55,0.4,8.1,3422.0,2475.0,1874.0,1.82,55.86,38.3,44.14,52.535,29.585,47.465,15.98,16.47,9.57,5.87,90.43,6.85,2115.0,4435.0,0.48,10.51,28.9,7.4,3.9,92.6,7.01,1200.0,4732.0,0.25,10.75,29.6,2.26,8.465,4.13,91.535,7.14,1894.0,5424.0,0.34,12.06,30.0,2.36,65.9,800.0,65.9,300.0,14.0,12.0,0.0,6.5,7.04,15.6
